Date,Close
8/17/2022,55
8/18/2022,81
8/19/2022,70
8/22/2022,41
8/23/2022,60
8/24/2022,62
8/25/2022,56
8/26/2022,47
8/29/2022,54
8/30/2022,23
8/31/2022,62
9/1/2022,34
9/2/2022,35
9/6/2022,63
9/7/2022,75
9/8/2022,34
9/9/2022,59
9/12/2022,72
9/13/2022,42
9/14/2022,34
9/15/2022,52
9/16/2022,57
9/19/2022,38
9/20/2022,42
9/21/2022,17
9/22/2022,53
9/23/2022,11
9/26/2022,60
9/27/2022,28
9/28/2022,34
9/29/2022,46
9/30/2022,41
10/3/2022,6
10/4/2022,1
10/5/2022,2
10/6/2022,-12
10/7/2022,20
10/10/2022,-15
10/11/2022,-30
10/12/2022,27
10/13/2022,-4
10/14/2022,17
10/17/2022,-16
10/18/2022,8
10/19/2022,-14
10/20/2022,10
10/21/2022,-21
10/24/2022,-10
10/25/2022,7
10/26/2022,-47
10/27/2022,5
10/28/2022,0
10/31/2022,-33
11/1/2022,1
11/2/2022,-14
11/3/2022,-50
11/4/2022,-40
11/7/2022,13
11/8/2022,-40
11/9/2022,-49
11/10/2022,-33
11/11/2022,-16
11/14/2022,16
11/15/2022,-23
11/16/2022,-20
11/17/2022,-45
11/18/2022,-57
11/21/2022,-21
11/22/2022,-8
11/23/2022,-10
11/25/2022,-6
11/28/2022,-42
11/29/2022,-38
11/30/2022,-58
12/1/2022,-15
12/2/2022,-24
12/5/2022,-51
12/6/2022,-22
12/7/2022,24
12/8/2022,-53
12/9/2022,-71
12/12/2022,-32
12/13/2022,-61
12/14/2022,-26
12/15/2022,-30
12/16/2022,-40
12/19/2022,-27
12/20/2022,-59
12/21/2022,-59
12/22/2022,-25
12/23/2022,-58
12/27/2022,-48
12/28/2022,-11
12/29/2022,-45
12/30/2022,-44
1/3/2023,-30
1/4/2023,-34
1/5/2023,-31
1/6/2023,-47
1/9/2023,-41
1/10/2023,-41
1/11/2023,-67
1/12/2023,-38
1/13/2023,-19
1/17/2023,-25
1/18/2023,-71
1/19/2023,-38
1/20/2023,-31
1/23/2023,-57
1/24/2023,-29
1/25/2023,-58
1/26/2023,-76
1/27/2023,-43
1/30/2023,-65
1/31/2023,-68
2/1/2023,-44
2/2/2023,-70
2/3/2023,-39
2/6/2023,-41
2/7/2023,-43
2/8/2023,-55
2/9/2023,-35
2/10/2023,-47
2/13/2023,-14
2/14/2023,-12
2/15/2023,-29
2/16/2023,-20
2/17/2023,-61
2/21/2023,-53
2/22/2023,-61
2/23/2023,-42
2/24/2023,-50
2/27/2023,-13
2/28/2023,-39
3/1/2023,-13
3/2/2023,-24
3/3/2023,-44
3/6/2023,-53
3/7/2023,-39
3/8/2023,-32
3/9/2023,-31
3/10/2023,-33
3/13/2023,-27
3/14/2023,-44
3/15/2023,-34
3/16/2023,-38
3/17/2023,-16
3/20/2023,2
3/21/2023,-12
3/22/2023,19
3/23/2023,-26
3/24/2023,-27
3/27/2023,-25
3/28/2023,-7
3/29/2023,-16
3/30/2023,15
3/31/2023,-12
4/3/2023,-38
4/4/2023,-20
4/5/2023,-15
4/6/2023,-21
4/7/2023,-23
4/10/2023,-3
4/11/2023,-7
4/12/2023,-20
4/13/2023,-8
4/14/2023,6
4/17/2023,25
4/18/2023,29
4/19/2023,13
4/20/2023,17
4/21/2023,13
4/24/2023,-13
4/25/2023,8
4/26/2023,-10
4/27/2023,-3
4/28/2023,1
5/1/2023,3
5/2/2023,0
5/3/2023,2
5/4/2023,4
5/5/2023,22
5/8/2023,4
5/9/2023,26
5/10/2023,31
5/11/2023,11
5/12/2023,25
5/15/2023,-14
5/16/2023,-9
5/17/2023,41
5/18/2023,32
5/19/2023,22
5/22/2023,14
5/23/2023,29
5/24/2023,23
5/25/2023,15
5/26/2023,25
5/30/2023,6
5/31/2023,47
6/1/2023,28
6/2/2023,49
6/5/2023,19
6/6/2023,33
6/7/2023,28
6/8/2023,43
6/9/2023,39
6/12/2023,13
6/13/2023,21
6/14/2023,63
6/15/2023,67
6/16/2023,59
6/20/2023,86
6/21/2023,85
6/22/2023,74
6/23/2023,100
6/26/2023,72
6/27/2023,90
6/28/2023,91
6/29/2023,69
6/30/2023,92
7/3/2023,100
7/5/2023,100
7/6/2023,99
7/7/2023,100
7/10/2023,82
7/11/2023,70
7/12/2023,68
7/13/2023,59
7/14/2023,50
7/17/2023,57
7/18/2023,42
7/19/2023,79
7/20/2023,46
7/21/2023,37
7/24/2023,51
7/25/2023,68
7/26/2023,66
7/27/2023,77
7/28/2023,92
7/31/2023,96
8/1/2023,97
8/2/2023,100
8/3/2023,62
8/4/2023,80
8/7/2023,73
8/8/2023,100
8/9/2023,76
8/10/2023,100
8/11/2023,100
8/14/2023,99
8/15/2023,97
8/16/2023,98
8/17/2023,84
8/18/2023,58
8/21/2023,47
8/22/2023,46
8/23/2023,28
8/24/2023,50
8/25/2023,43
8/28/2023,45
8/29/2023,37
8/30/2023,67
8/31/2023,66
9/1/2023,60
9/5/2023,41
9/6/2023,69
9/7/2023,73
9/8/2023,62
9/11/2023,72
9/12/2023,72
9/13/2023,89
9/14/2023,70
9/15/2023,72
9/18/2023,30
9/19/2023,84
9/20/2023,63
9/21/2023,38
9/22/2023,50
9/25/2023,42
9/26/2023,62
9/27/2023,38
9/28/2023,41
9/29/2023,18
10/2/2023,42
10/3/2023,28
10/4/2023,-9
10/5/2023,1
10/6/2023,38
10/9/2023,11
10/10/2023,25
10/11/2023,17
10/12/2023,37
10/13/2023,17
10/16/2023,38
10/17/2023,10
10/18/2023,-29
10/19/2023,-25
10/20/2023,28
10/23/2023,4
10/24/2023,5
10/25/2023,-11
10/26/2023,-5
10/27/2023,15
10/30/2023,-10
10/31/2023,-19
11/1/2023,-25
11/2/2023,-10
11/3/2023,-8
11/6/2023,5
11/7/2023,8
11/8/2023,-14
11/9/2023,-41
11/10/2023,9
11/13/2023,-2
11/14/2023,-32
11/15/2023,-20
11/16/2023,-15
11/17/2023,-24
11/20/2023,4
11/21/2023,0
11/22/2023,11
11/24/2023,-36
11/27/2023,-2
11/28/2023,-31
11/29/2023,-22
11/30/2023,-28
12/1/2023,4
12/4/2023,-23
12/5/2023,-10
12/6/2023,-31
12/7/2023,-27
12/8/2023,-18
12/11/2023,-32
12/12/2023,-26
12/13/2023,-33
12/14/2023,-54
12/15/2023,-30
12/18/2023,-29
12/19/2023,-75
12/20/2023,-30
12/21/2023,-39
12/22/2023,-35
12/26/2023,-35
12/27/2023,-45
12/28/2023,-45
12/29/2023,-42
